"Source:","C:\Users\hharte\source\repos\1dcoinctrl\hardware\1d_coinctrl_r2.kicad_sch"
"Date:","8/7/2022 11:28:44 AM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","Field5","Field6","MANUFACTURER","MPN","Manufacturer","STANDARD","Status"
"","","C1","4700pF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://www.digikey.com/product-detail/en/kemet/C317C472K1R5TA7301/399-13937-1-ND/6562530","","","","","","","","","","","","","",""
"","","C2","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VE5TL2/BC1148CT-ND/286770","","","","","","","","","","","","","",""
"","","C3","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VE5TL2/BC1148CT-ND/286770","","","","","","","","","","","","","",""
"","","C4","0.01uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C5","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VE5TL2/BC1148CT-ND/286770","","","","","","","","","","","","","",""
"","","C6","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VE5TL2/BC1148CT-ND/286770","","","","","","","","","","","","","",""
"","","C7","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VE5TL2/BC1148CT-ND/286770","","","","","","","","","","","","","",""
"","","C8","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C9","0.001uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C10","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C11","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C12","0.001uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C13","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C14","4.7uF 250V","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","","","","","","","","","","",""
"","","C15","10uF 25V","Device:C_Polarized_US","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm","~","","","","","","","","","","","","","",""
"","","C16","1000uF 25V","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","","","","","","","","","","","","","",""
"","","C17","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","","","","","","","","","","","","","",""
"","","C18","22uF 16V","Device:C_Polarized_US","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm","~","","","","","","","","","","","","","",""
"","","C19","10uF 25V","Device:C_Polarized_US","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm","~","","","","","","","","","","","","","",""
"","","C20","10uF 50V","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","",""
